channel_ref,channel_name,source,notes,channel_id
https://www.youtube.com/channel/UCYzPXprvl5Y-Sf0g4vX-m6g,jacksepticeye,search:minecraft let's play,,UCYzPXprvl5Y-Sf0g4vX-m6g
https://www.youtube.com/channel/UCL2XnlScO9KV_el38fDdVYA,WiredLP,search:minecraft let's play,,UCL2XnlScO9KV_el38fDdVYA
https://www.youtube.com/channel/UCq-9jiz3k4LP6F39pZoq8MQ,PythonMC,search:minecraft let's play,,UCq-9jiz3k4LP6F39pZoq8MQ
https://www.youtube.com/channel/UCjPD7OJ-R-e2O_iF_5HBuuw,aluhhsim,search:minecraft let's play,,UCjPD7OJ-R-e2O_iF_5HBuuw
https://www.youtube.com/channel/UCBsYbPE_EjjyqnQwK5TqsSA,Wombaat,search:minecraft let's play,,UCBsYbPE_EjjyqnQwK5TqsSA
https://www.youtube.com/channel/UC4qdHN4zHhd4VvNy3zNgXPA,SmallishBeans,search:minecraft let's play,,UC4qdHN4zHhd4VvNy3zNgXPA
https://www.youtube.com/channel/UCBbRBOG2sZHqEtIAf4iVFDg,Cryptozoology,search:minecraft let's play,,UCBbRBOG2sZHqEtIAf4iVFDg
https://www.youtube.com/channel/UCwyCr_Tatq524nmOjaRRu3g,Kathrine Valentine,search:minecraft let's play,,UCwyCr_Tatq524nmOjaRRu3g
https://www.youtube.com/channel/UC8NtAZiOWxzYXWFudOsQJzA,Schmizzle,search:minecraft let's play,,UC8NtAZiOWxzYXWFudOsQJzA
https://www.youtube.com/channel/UCFKDEp9si4RmHFWJW1vYsMA,EthosLab,search:minecraft let's play,,UCFKDEp9si4RmHFWJW1vYsMA
https://www.youtube.com/channel/UC1ymP-F2E2Cw-V_XUTTBwgQ,Julien Azelart,search:minecraft let's play,,UC1ymP-F2E2Cw-V_XUTTBwgQ
https://www.youtube.com/channel/UCCcRwVLEk-0ouoHIKUjKQqg,LuvstarKei,search:minecraft let's play,,UCCcRwVLEk-0ouoHIKUjKQqg
https://www.youtube.com/channel/UCNMObw2MQ_JL4u82X-c5R4g,fogey,search:minecraft let's play,,UCNMObw2MQ_JL4u82X-c5R4g
https://www.youtube.com/channel/UCa5FQk7WHKxyDHzJnmUhPsQ,CottonVelvet,search:minecraft let's play,,UCa5FQk7WHKxyDHzJnmUhPsQ
https://www.youtube.com/channel/UCEe2aqK4fgDYTOjkZvTvang,KingJoe83,search:fortnite gameplay,,UCEe2aqK4fgDYTOjkZvTvang
https://www.youtube.com/channel/UCMVhcXTY08pqFAtvrD3tpmQ,kleeqo,search:fortnite gameplay,,UCMVhcXTY08pqFAtvrD3tpmQ
https://www.youtube.com/channel/UCPfl7i5W5v2DgT8KZXVHqiQ,MajinFN,search:fortnite gameplay,,UCPfl7i5W5v2DgT8KZXVHqiQ
